city,state,address
Campbell,CA,1065 Fewtrell Dr.
San Jose,CA,364 Ro.yce Dr
Santa Clara,CA,902 Wren AvenueNew
Saratoga,CA,21468 Continental Cirl
Santa Clara,CA,"3479 Fowler Ave, Santa Clara, CA 95053"
Santa Clara,CA,1381 (Unit 2) Las PalmasDr
San Jose,CA,350 N 2nd St APT 309
Cupertino,CA,20669 Scofield Dreive
Gilroy,CA,9103 Connell Ct-ATTACHED ADU CONVERSION
Sunnyvale,CA,1622 Peacock Ave/NEW
Cupertino,CA,22273 BahlSt
San Jose,CA,1667 Guadalupe AveADU
San Jose,CA,1186 Quail Creek Cir
Sunnyvale,CA,355 Morse Ave St
San Jose,CA,30 E Julian St UNIT 113 San Jose CA 95112
San Jose,CA,4040 La Mesa-Ln
Sunnyvale,CA,1039 Fernleaf Dr .
Los Gatos,CA,14091 Shadow Oaks Way Unit7
Santa Clara,CA,"The English Court Apts., 1253 Cabrillo Ave2"
Palo Alto,CA,3B65 Whitsell Ave
